TRN_STUDENT_ACADEMICYEAR,TRN_STUDENT_GENDER_NAME,TRN_STUDENT_GRADE_LEVEL_NAME,TRN_STUDENT_STUDENTSTATUS_NAME,TOTAL
2562,ชาย,ปริญญาตรีชั้นปีที่ 1 (สามัญ),ไม่จัดเก็บข้อมูล,13
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่ระบุข้อมูล,97
2562,ชาย,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่ระบุข้อมูล,10143
2562,ชาย,ประถมศึกษาปีที่ 3/เกรด 3,ไม่ระบุข้อมูล,15654
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 3/เกรด 3,ไม่ระบุข้อมูล,471
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,ไม่ระบุข้อมูล,581
2562,ไม่ระบุข้อมูล,ประถมศึกษาปีที่ 2/เกรด 2,ไม่ระบุข้อมูล,524
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่ระบุข้อมูล,96
2562,หญิง,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),พักการเรียน,40
2562,หญิง,ประถมศึกษาปีที่ 2/เกรด 2,อยู่ระหว่างดำเนินการติดตาม,161
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 3,อยู่ระหว่างดำเนินการติดตาม,5
2563,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 3,พักการเรียน,1826
2563,หญิง,ประกาศนียบัตรวิชาชีพปีที่ 1,พักการเรียน,41
2563,ชาย,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่ระบุข้อมูล,3550
2563,ข้อมูล error,มัธยมศึกษาปีที่ 5/เกรด11/เตรียมทหารชั้นปีที่ 2,ไม่สามารถจำแนกข้อมูลได้,1
2563,หญิง,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,อยู่ระหว่างดำเนินการติดตาม,1
2563,ชาย,ประถมศึกษาปีที่ 2/เกรด 2,ไม่สามารถจำแนกข้อมูลได้,38074
2563,ชาย,มัธยมศึกษาปีที่ 5 (พุทธศึกษา),ไม่สามารถจำแนกข้อมูลได้,2511
2563,ชาย,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,พักการเรียน,1
2563,หญิง,ดุริยางค์ทหารบก/ดุริยางค์ทหารเรือชั้นปีที่ 3,ไม่สามารถจำแนกข้อมูลได้,6
2562,ชาย,ประถมศึกษาปีที่ 6/เกรด 6/กศน.ประถมศึกษา,อยู่ระหว่างดำเนินการติดตาม,640
2562,หญิง,ประถมศึกษาปีที่ 1/เกรด 1,อยู่ระหว่างดำเนินการติดตาม,321
2562,หญิง,ประถมศึกษาปีที่ 4/เกรด 4,อยู่ระหว่างดำเนินการติดตาม,171
2562,ชาย,มัธยมศึกษาปีที่ 4 (พุทธศึกษา),ไม่จัดเก็บข้อมูล,3831
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 2,พักการเรียน,1327
2562,ชาย,ประกาศนียบัตรวิชาชีพปีที่ 1,พักการเรียน,384
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,ไม่ระบุข้อมูล,128
2562,หญิง,มัธยมศึกษาปีที่ 2 (พุทธศึกษา),ไม่ระบุข้อมูล,196
2562,ชาย,มัธยมศึกษาปีที่ 3 /เกรด 9/ นาฎศิลป์ชั้นที่ 3,ไม่ระบุข้อมูล,9376
2562,ชาย,อนุบาล 2(หลักสูตร 3 ปีของ สช.)/อนุบาล 1,ไม่ระบุข้อมูล,11330
2562,ไม่ระบุข้อมูล,อนุบาล 3(หลักสูตร 3 ปีของ สช.)/อนุบาล 2,ไม่ระบุข้อมูล,240
2562,ไม่ระบุข้อมูล,มัธยมศึกษาปีที่ 1 (พุทธศึกษา),ไม่ระบุข้อมูล,540
2562,ชาย,มัธยมศึกษาปีที่ 4/เกรด10/เตรียมทหารชั้นปีที่ 1,ไม่ระบุข้อมูล,2751
2563,ชาย,ประกาศนียบัตรวิชาชีพชั้นสูงชั้นปีที่ 2/ ปวท. ชั้นปีที่ 1 - ปกศ. สูง ,พักการเรียน,2694
2563,ชาย,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่สามารถจำแนกข้อมูลได้,36794
2563,หญิง,มัธยมศึกษาปีที่ 1 /เกรด 7/ นาฎศิลป์ชั้นที่ 1 ,ไม่สามารถจำแนกข้อมูลได้,32144
2563,หญิง,ประถมศึกษาปีที่ 4/เกรด 4,ไม่สามารถจำแนกข้อมูลได้,33423
2563,หญิง,ประถมศึกษาปีที่ 5/เกรด 5,ไม่สามารถจำแนกข้อมูลได้,33611
2563,ชาย,มัธยมศึกษาปีที่ 6/เกรด12/เตรียมทหารชั้นปีที่ 3/กศน.มัธยมศึกษา,ไม่สามารถจำแนกข้อมูลได้,140882
